;Winner;Turns;Win_rate
562;AI;25;0.5079928952042628
563;Random;19;0.5070921985815603
564;Random;24;0.5061946902654867
565;AI;52;0.5070671378091873
566;AI;59;0.5079365079365079
567;AI;22;0.5088028169014085
568;AI;31;0.5096660808435852
569;Random;75;0.5087719298245614
570;AI;27;0.5096322241681261
571;Random;13;0.5087412587412588
572;Random;28;0.5078534031413613
573;AI;66;0.5087108013937283
574;AI;9;0.5095652173913043
575;Random;35;0.5086805555555556
576;AI;17;0.5095320623916811
577;AI;14;0.5103806228373703
578;Random;10;0.5094991364421416
579;AI;28;0.5103448275862069
580;Random;24;0.5094664371772806
581;Random;57;0.5085910652920962
582;Random;44;0.5077186963979416
583;AI;18;0.5085616438356164
584;Random;34;0.5076923076923077
585;Random;19;0.5068259385665529
586;Random;44;0.5059625212947189
587;AI;44;0.5068027210884354
588;Random;88;0.5059422750424448
589;AI;36;0.5067796610169492
590;AI;59;0.5076142131979695
591;Random;103;0.5067567567567568
592;AI;13;0.5075885328836425
593;Random;35;0.5067340067340067
594;AI;13;0.507563025210084
595;AI;36;0.5083892617449665
596;AI;11;0.509212730318258
597;Random;25;0.5083612040133779
598;Random;52;0.5075125208681135
599;Random;97;0.5066666666666667
600;AI;105;0.5074875207986689
601;AI;12;0.5083056478405316
602;AI;43;0.5091210613598673
603;Random;35;0.5082781456953642
604;Random;54;0.5074380165289256
605;AI;96;0.5082508250825083
606;Random;88;0.5074135090609555
607;Random;39;0.506578947368421
608;Random;26;0.5057471264367817
609;Random;147;0.5049180327868853
610;Random;14;0.5040916530278232
611;AI;112;0.5049019607843137
612;Random;52;0.5040783034257749
613;Random;27;0.503257328990228
614;Random;18;0.5024390243902439
615;AI;24;0.5032467532467533
616;Random;56;0.5024311183144247
617;Random;29;0.5016181229773463
618;AI;19;0.5024232633279483
619;AI;56;0.5032258064516129
620;Random;28;0.5024154589371981
621;AI;18;0.5032154340836013
622;AI;29;0.5040128410914928
623;AI;16;0.5048076923076923
624;Random;38;0.504
625;AI;26;0.5047923322683706
626;AI;19;0.5055821371610846
627;Random;35;0.5047770700636943
628;AI;55;0.505564387917329
629;AI;42;0.5063492063492063
630;Random;38;0.5055467511885895
631;Random;25;0.504746835443038
632;AI;17;0.5055292259083728
633;AI;50;0.5063091482649842
634;AI;17;0.5070866141732283
635;AI;20;0.5078616352201258
636;AI;39;0.5086342229199372
637;Random;37;0.5078369905956113
638;Random;42;0.5070422535211268
639;AI;32;0.5078125
640;AI;49;0.5085803432137286
641;Random;71;0.5077881619937694
642;AI;11;0.5085536547433903
643;AI;40;0.5093167701863354
644;AI;15;0.5100775193798449
645;AI;16;0.5108359133126935
646;AI;27;0.5115919629057187
647;AI;26;0.5123456790123457
648;AI;65;0.5130970724191063
649;AI;44;0.5138461538461538
650;Random;46;0.5130568356374808
651;Random;71;0.5122699386503068
652;AI;19;0.5130168453292496
653;Random;28;0.5122324159021406
654;Random;64;0.5114503816793893
655;Random;9;0.510670731707317
656;AI;65;0.5114155251141552
657;Random;59;0.5106382978723404
658;Random;34;0.5098634294385432
659;Random;13;0.509090909090909
660;AI;89;0.5098335854765507
661;Random;19;0.5090634441087614
662;AI;37;0.5098039215686274
663;AI;28;0.5105421686746988
664;AI;25;0.5112781954887218
665;AI;40;0.512012012012012
666;Random;50;0.5112443778110944
667;Random;23;0.5104790419161677
668;Random;28;0.5097159940209267
669;AI;20;0.5104477611940299
670;Random;14;0.5096870342771982
671;Random;23;0.5089285714285714
672;AI;13;0.5096582466567607
673;AI;34;0.5103857566765578
674;AI;35;0.5111111111111111
675;Random;61;0.5103550295857988
676;AI;39;0.5110782865583456
677;AI;32;0.5117994100294986
678;AI;29;0.5125184094256259
679;AI;30;0.513235294117647
680;AI;17;0.5139500734214391
681;Random;85;0.5131964809384164
682;AI;21;0.513909224011713
683;Random;51;0.5131578947368421
684;AI;25;0.5138686131386861
685;Random;41;0.5131195335276968
686;Random;58;0.512372634643377
687;Random;23;0.5116279069767442
688;AI;31;0.5123367198838897
689;Random;39;0.5115942028985507
690;Random;42;0.5108538350217077
691;AI;30;0.5115606936416185
692;Random;24;0.5108225108225108
693;Random;43;0.5100864553314121
694;AI;17;0.5107913669064749
695;Random;23;0.5100574712643678
696;Random;44;0.509325681492109
697;AI;32;0.5100286532951289
698;AI;121;0.5107296137339056
699;AI;40;0.5114285714285715
700;AI;75;0.5121255349500713
701;AI;26;0.5128205128205128
702;AI;31;0.5135135135135135
703;AI;130;0.5142045454545454
704;AI;105;0.5148936170212766
705;AI;14;0.5155807365439093
706;Random;20;0.5148514851485149
707;Random;27;0.5141242937853108
708;AI;21;0.5148095909732017
709;Random;37;0.5140845070422535
710;AI;79;0.5147679324894515
711;Random;13;0.5140449438202247
712;AI;21;0.514726507713885
713;AI;56;0.5154061624649859
714;AI;49;0.5160839160839161
715;AI;30;0.5167597765363129
716;Random;84;0.5160390516039052
717;Random;17;0.5153203342618384
718;AI;13;0.5159944367176634
719;Random;23;0.5152777777777777
720;AI;55;0.5159500693481276
721;Random;55;0.5152354570637119
722;AI;59;0.5159059474412172
723;AI;96;0.5165745856353591
724;AI;39;0.5172413793103449
725;AI;14;0.5179063360881543
726;AI;23;0.5185694635488308
727;Random;51;0.5178571428571429
728;AI;65;0.5185185185185185
729;AI;20;0.5191780821917809
730;AI;59;0.5198358413132695
731;Random;35;0.5191256830601093
732;Random;64;0.5184174624829468
733;AI;100;0.5190735694822888
734;AI;29;0.5197278911564626
735;AI;12;0.5203804347826086
736;Random;66;0.519674355495251
737;Random;27;0.518970189701897
738;Random;14;0.5182679296346414
739;Random;43;0.5175675675675676
740;AI;23;0.5182186234817814
741;Random;25;0.5175202156334232
742;AI;67;0.5181695827725438
743;AI;18;0.5188172043010753
744;AI;91;0.5194630872483221
745;Random;13;0.5187667560321716
746;Random;56;0.5180722891566265
747;AI;38;0.5187165775401069
748;Random;78;0.5180240320427236
749;AI;98;0.5186666666666667
750;Random;44;0.5179760319573902
751;AI;14;0.5186170212765957
752;Random;36;0.5179282868525896
753;Random;13;0.5172413793103449
754;AI;51;0.5178807947019868
755;AI;56;0.5185185185185185
756;AI;45;0.5191545574636723
757;AI;14;0.5197889182058048
758;Random;36;0.5191040843214756
759;AI;18;0.5197368421052632
760;AI;43;0.5203679369250985
761;Random;41;0.5196850393700787
762;AI;21;0.5203145478374837
763;AI;16;0.5209424083769634
764;AI;39;0.5215686274509804
765;Random;35;0.52088772845953
766;AI;149;0.5215123859191656
767;AI;54;0.5221354166666666
768;AI;19;0.5227568270481144
769;AI;32;0.5233766233766234
770;Random;40;0.522697795071336
771;AI;26;0.5233160621761658
772;AI;23;0.5239327296248383
773;AI;50;0.524547803617571
774;Random;58;0.5238709677419355
775;Random;29;0.5231958762886598
776;Random;92;0.5225225225225225
777;AI;24;0.5231362467866324
778;AI;89;0.5237483953786907
779;AI;22;0.5243589743589744
